REFNUM,UTMZONE,UTMEASTING,UTMNORTHIN
"79000325","19","385750","4607840"
"79000327","19","341350","4611000"
"79000330","19","323580","4730340"
"79000335","19","339120","4702800"
"85000021","18","655610","4719640"
"82001878","19","346250","4741220"
"82001879","19","340190","4702980"
"82001880","19","322869","4730400"
"80000427","18","644160","4700780"
"80000431","19","320910","4619320"
"80000432","19","338260","4605530"
"83003925","18","697140","4674930"
"84002084","18","643050","4698775"
"84002087","19","327215","4640990"
"84002088","19","326140","4639960"
"84002089","19","326015","4640200"
"84002091","19","326610","4640950"
"84002092","19","325290","4642690"
"84002094","19","323780","4641940"
"84002099","19","326010","4641330"
"84002103","19","325915","4640275"
"84002104","19","326800","4640570"
"84002105","19","325430","4640040"
"84002106","19","328490","4641250"
"84002108","19","327150","4640970"
"84002112","19","331260","4638490"
"84002116","19","326970","4640965"
"84002117","19","326510","4640485"
"84002119","19","327560","4640110"
"84002123","19","328300","4641150"
"84002128","19","326620","4641050"
"84002138","19","325230","4640540"
"84002141","19","332350","4638300"
"84002150","19","324670","4640840"
"84002152","19","325190","4642185"
"84002159","19","323750","4640750"
"84002162","19","326040","4646885"
"84002166","19","325470","4640180"
"84002181","19","326040","4640540"
"84002183","19","326590","4640990"
"84002188","19","326280","4642200"
"84002192","19","327280","4641040"
"84002196","19","326550","4639350"
"84002199","19","326305","4641000"
"84002174","19","325265","4642630"
"84002216","19","339270","4612620"
"84002217","19","326300","4639070"
"84002219","19","326750","4638885"
"84002225","19","326250","4640950"
"84002228","19","326250","4639215"
"84002231","19","326550","4641050"
"84002232","19","325390","4642750"
"84002235","19","326500","4640990"
"84002252","19","326830","4640535"
"84002254","19","326846","4638840"
"84002256","19","325500","4638240"
"84002258","19","325970","4640295"
"84002261","19","325280","4640140"
"84002263","19","326620","4639175"
"84002271","19","326110","4642870"
"84002278","19","327120","4639820"
"84002282","19","326655","4638950"
"84002285","19","333990","4638380"
"84002286","19","321915","4642520"
"84002288","19","326030","4640440"
"84002307","19","319880","4730370"
"84002320","19","322650","4732380"
"84002347","19","321620","4738180"
"84002351","19","322120","4730420"
"84002353","19","320840","4732810"
"84002365","19","321120","4732710"
"84002374","19","324020","4732600"
"84002379","19","320740","4732820"
"84002387","19","321590","4731770"
"83003979","18","700000","4664120"
"84002449","18","722180","4663880"
"84002457","18","704030","4694280"
"84002504","19","328520","4711550"
"84002514","19","327200","4709900"
"84002530","19","326490","4694430"
"84002543","19","318240","4690650"
"84002556","19","290280","4691220"
"83004022","19","298100","4686280"
"84002643","19","326620","4710120"
"83004030","19","325630","4694520"
"84002667","19","327060","4709600"
"84002677","19","326300","4710130"
"84002702","19","327020","4704960"
"84002716","19","327180","4704470"
"83004068","19","326500","4698440"
"84002811","19","327380","4709220"
"84002841","19","326900","4708180"
"84002870","19","321980","4669340"
"84002872","19","334190","4679180"
"83004101","19","282100","4661830"
